馬ID,父,父系,母,母系,母父,母父系
2014104991,タイムパラドックス,Roberto系,ケイウンブルーム,FNo.[7-c],ジョリーズヘイローJolie'sHalo(米),不明
2014105066,キンシャサノキセキ,Halo系,エアラホーヤ,FNo.[13-c],ボストンハーバーBostonHarbor(米),不明
2014105081,ハーツクライ,Halo系,プリンセスペスカ,FNo.[3-e],チーフベアハートChiefBearhart(加),不明
2014105250,キングカメハメハ,Mr.Prospector系,イングリッド,FNo.[9-e],ディープインパクト,不明
2014105324,キングカメハメハ,Mr.Prospector系,レジネッタ,FNo.[4-m],フレンチデピュティFrenchDeputy(米),不明
2014105356,ディープインパクト,Halo系,スウィートハースSweetHearth(米),FNo.[8-h],TouchGold,不明
2014105391,シンボリクリスエス,Roberto系,アスピリンスノー,FNo.[3-l],エルコンドルパサー,不明
2014105439,ダイワメジャー,Halo系,エールスタンス,FNo.[1-l],エルコンドルパサー,不明
2014105506,キングカメハメハ,Mr.Prospector系,ザレマ,FNo.[4-m],ダンスインザダーク,不明
2014105509,ハーツクライ,Halo系,シダクティヴリーSeductively(加),FNo.[11],サンダーガルチThunderGulch(米),不明
2014105531,ダノンシャンティ,Halo系,ジャストジョーイ,FNo.[16-a],クロフネ,不明
2014105542,ローエングリン,Sadler'sWells系,スプリングアマイン,FNo.[9-f],タヤスツヨシ,不明
2014105582,ローエングリン,sWells系,テクニカルラン,FNo.[16-g],アグネスタキオン,不明
2014105589,キングカメハメハ,Mr.Prospector系,トリプレックス,FNo.[7],サンデーサイレンスSundaySilence(米),不明
2014105599,ホワイトマズルWhiteMuzzle(英),Lyphard系,ヌーベルバーグ,FNo.[10-d],ディープインパクト,不明
2014105638,ゴールドアリュール,Halo系,ファニーストーリー,FNo.[2-n],DistortedHumor(米),不明
2014105642,ダイワメジャー,Halo系,ファンジカFanjica(愛),FNo.[12-e],LawSociety,不明
2014105681,マンハッタンカフェ,Halo系,ベガスナイト,FNo.[17-b],コロナドズクエストCoronado'sQuest(米),不明
2014105709,ジャングルポケット,ゼダーン系,マンハッタンフィズ,FNo.[16-c],サンデーサイレンスSundaySilence(米),不明
2014105774,マンハッタンカフェ,Halo系,ロリポップガール,FNo.[7-c],Trempolino(米),不明
2014105802,ディープインパクト,Halo系,アパパネ,FNo.[9-f],キングカメハメハ,不明
2014105853,ディープインパクト,Halo系,エレンウィルモット,FNo.[13-a],ブライアンズタイムBrian'sTime(米),不明
2014105887,ディープインパクト,Halo系,キングスローズKing'sRose(新),FNo.[4-m],Redoute'sChoice,不明
2014105892,ダノンシャンティ,Halo系,クリムゾンブーケ,FNo.[4-d],クロフネ,不明
2014105947,キングカメハメハ,Mr.Prospector系,シラユキヒメ,FNo.[2-w],サンデーサイレンスSundaySilence(米),不明
2014105982,マンハッタンカフェ,Halo系,スタイルリスティック,FNo.[9-f],StormCat(米),不明
2014106010,ルーラーシップ,Mr.Prospector系,タンザナイト,FNo.[16-a],サンデーサイレンスSundaySilence(米),不明
2014106038,ハーツクライ,Halo系,トゥーピーToupie(英),FNo.[13-c],Intikhab,不明
2014106117,ステイゴールド,Halo系,プチノワール,FNo.[8-d],Singspiel(愛),不明
2014106120,ハーツクライ,Halo系,プリティカリーナPrettyCarina(米),FNo.[4-m],SeekingtheGold,不明
2014106228,ヴィクトワールピサ,Halo系,ルシルクLeCirque(米),FNo.[1-t],Dynaformer,不明
2014106286,キングヘイロー,Lyphard系,キーラッキー,FNo.[2-r],ティンバーカントリーTimberCountry(米),不明
2014106335,ハーツクライ,Halo系,クレバースプリント,FNo.[12-f],サクラバクシンオー,不明
2014106348,スマートファルコン,Halo系,ラビングトスカーナ,FNo.[5-e],マイネルラヴ,不明
2014106474,ゴールドアリュール,Halo系,ブライトサファイヤ,FNo.[7-c],サンダーガルチThunderGulch(米),不明
2014109137,ロージズインメイRosesinMay(米),Halo系,フォンティーン,FNo.[14-b],エンドスウィープEndSweep(米),不明
2014109151,ブラックタイド,Halo系,テイエムヒスイ,FNo.[4-r],テイエムオペラオー,不明
2014110029,Pivotal,Nureyev系,CapeElizabeth,FNo.[19],InvincibleSpirit(愛),不明
2014110107,Haynesfield,Mr.Prospector系,Swinging,FNo.[6-a],WildAgain,不明
2015100023,ロジユニヴァース,Halo系,ロジディオン,FNo.[4-d],サニングデール,不明
2015100043,バトルプランBattlePlan(米),Mr.Prospector系,ドクターベローナ,FNo.[4-d],メジロライアン,不明
2015100217,ロードカナロア,Mr.Prospector系,エルノヴァ,FNo.[4-n],サンデーサイレンスSundaySilence(米),不明
2015100274,キングヘイロー,Lyphard系,ベストフューチャー,FNo.[1-b],ロージズインメイRosesinMay(米),不明
2015100284,アドマイヤオーラ,Halo系,セトウチダイヤ,FNo.[1-x],タイキシャトル,不明
