馬ID,父,父系,母,母系,母父,母父系
2021101776,エスポワールシチー,Halo系,デジタルゴールド,FNo.[14-c],アグネスデジタル,不明
2021101778,グランプリボス,テスコボーイ系,モズキンメダリスト,FNo.[14-d],Bernardini(米),不明
2021101779,ゴールドシップ,Halo系,ウッドシップ,FNo.[3-c],クロフネ,不明
2021101781,ゴールドシップ,Halo系,クリアーウェイ,FNo.[1-n],ダノンシャンティ,不明
2021101785,ホークビルHawkbill(米),sWells系,プライムシスター,FNo.[16-h],ルーラーシップ,不明
2021101786,ゴールドシップ,Halo系,ルビーズアンドダイアモンズRubysanddiamonds(愛),FNo.[23],Singspiel(愛),不明
2021101787,ミッキーロケット,Mr.Prospector系,スマートマーチ,FNo.[1-w],リンカーン,不明
2021101790,モーリス,Roberto系,ブイアスカ,FNo.[3-f],アドマイヤドン,不明
2021101791,リオンディーズ,Mr.Prospector系,マルニ,FNo.[10-d],スクリーンヒーロー,不明
2021101793,トーセンラー,Halo系,ゴールドリボン,FNo.[14-c],スターキングマン,不明
2021101794,エイシンフラッシュ,Mr.Prospector系,ベルベットカフェ,FNo.[1-k],マンハッタンカフェ,不明
2021101800,マインドユアビスケッツMindYourBiscuits(米),DeputyMinister系,マサノヒロイン,FNo.[9],ゴールドヘイロー,不明
2021101801,アニマルキングダムAnimalKingdom(米),BlushingGroom系,リップグロス,FNo.[2-p],ハーツクライ,不明
2021101803,ディーマジェスティ,Halo系,グレイスサンセット,FNo.[22-b],ジャングルポケット,不明
2021101811,ロジャーバローズ,Halo系,エスカレートバイオ,FNo.[2-n],アルデバランIIAldebaran(米),不明
2021101813,ビーチパトロールBeachPatrol(米),Mr.Prospector系,ディクシーゴールド,FNo.[3-d],ゴールドアリュール,不明
2021101814,ドレフォンDrefong(米),StormBird系,ヒカルトキメキ,FNo.[13-c],クロフネ,不明
2021101816,アメリカンペイトリオット,Danzig系,プリンセスプライド,FNo.[9-d],マンハッタンカフェ,不明
2021101819,シルバーステート,Halo系,ギンザフェアレディ,FNo.[7-c],マンハッタンカフェ,不明
2021101820,エピカリス,Halo系,クリームヒルト,FNo.[22],ノヴェリストNovellist(愛),不明
2021101821,アニマルキングダムAnimalKingdom(米),BlushingGroom系,ジェイエルシップ,FNo.[4-d],ハービンジャーHarbinger(英),不明
2021101822,ホークビルHawkbill(米),sWells系,ジェイエルマリーン,FNo.[4-d],バゴBago(仏),不明
2021101823,シルバーステート,Halo系,ジャスティシア,FNo.[19],キングカメハメハ,不明
2021101825,マクフィMakfi(英),Mr.Prospector系,ナムラアピア,FNo.[3-o],クロフネ,不明
2021101826,モーニン,StormBird系,ナムラココロ,FNo.[1-e],サウスヴィグラス,不明
2021101827,アルアイン,Halo系,ナムラヒラリー,FNo.[A4],クロフネ,不明
2021101828,イスラボニータ,Halo系,ナムラムラサキ,FNo.[1-n],トーセンホマレボシ,不明
2021101829,アルアイン,Halo系,ナムラルンタ,FNo.[1-c],ダイワメジャー,不明
2021101831,ベルシャザール,Mr.Prospector系,フルーツタルト,FNo.[9-f],ディープインパクト,不明
2021101832,オルフェーヴル,Halo系,ベネフィット,FNo.[1-l],マンハッタンカフェ,不明
2021101833,デクラレーションオブウォー,Danzig系,ホウライアキコ,FNo.[4-d],ヨハネスブルグJohannesburg(米),不明
2021101834,オルフェーヴル,Halo系,ショウナンアルマー,FNo.[16-h],ダイワメジャー,不明
2021101835,ショウナンバッハ,Halo系,ショウナンタイリン,FNo.[2-n],キングカメハメハ,不明
2021101837,マジェスティックウォリアーMajesticWarrior(米),SeattleSlew系,ダイシンキャンディ,FNo.[9-e],アグネスタキオン,不明
2021101838,キズナ,Halo系,ダイシンパーティー,FNo.[6-a],ブライアンズタイムBrian'sTime(米),不明
2021101839,トーセンラー,Halo系,エーシンラクーン,FNo.[8-f],ジャングルポケット,不明
2021101852,レッドファルクス,Mr.Prospector系,アートシュアリー,FNo.[1-r],ハービンジャーHarbinger(英),不明
2021101853,ジャングルポケット,ゼダーン系,キープサニーハート,FNo.[1-l],キングヘイロー,不明
2021101855,ダノンシャーク,Halo系,クリノチョモラーリ,FNo.[1-t],スパイキュール,不明
2021101856,アスカクリチャン,Mr.Prospector系,クリノテレジア,FNo.[6-e],スクリーンヒーロー,不明
2021101857,バゴBago(仏),BlushingGroom系,クリノバンダイサン,FNo.[5-g],フレンチデピュティFrenchDeputy(米),不明
2021101859,ダノンシャーク,Halo系,クリノミユキチャン,FNo.[1-b],キンググローリアスKingGlorious(米),不明
2021101860,リーチザクラウン,Halo系,スープミント,FNo.[17-b],キングカメハメハ,不明
2021101862,フェノーメノ,Halo系,チェリーボンボン,FNo.[1-g],プリサイスエンドPreciseEnd(米),不明
2021101863,ディスクリートキャットDiscreetCat(米),StormBird系,ドナウィンディ,FNo.[7],フレンチデピュティFrenchDeputy(米),不明
2021101864,レッドファルクス,Mr.Prospector系,ドナプリモ,FNo.[7],フリオーソ,不明
2021101865,アルアイン,Halo系,ネオヴェルザンディ,FNo.[12-c],TempleCity,不明
2021101866,サトノクラウン,NorthernDancer系,ハービーナ,FNo.[16-g],ハービンジャーHarbinger(英),不明
2021101867,ニシケンモノノフ,Halo系,ピアッジーネ,FNo.[13-c],サクラバクシンオー,不明
2021101868,アドミラブル,Halo系,ピンクトルマリン,FNo.[1-u],FusaichiPegasus,不明
2021101869,ビッグアーサー,テスコボーイ系,ファインドザウェイ,FNo.[9-c],ローズキングダム,不明
2021101871,ホークビルHawkbill(米),sWells系,プレシャスエルフ,FNo.[5-g],コロナドズクエストCoronado'sQuest(米),不明
2021101875,タリスマニックTalismanic(英),sWells系,エクスミッション,FNo.[7],シンボリクリスエス,不明
2021101877,パイロPyro(米),SeattleSlew系,クラッシュオンユー,FNo.[9-f],クロフネ,不明
2021101881,レインボーライン,Halo系,スタイルオブメロン,FNo.[1-b],メジロマックイーン,不明
2021101885,モーニン,StormBird系,プレシャスクルー,FNo.[5-g],ノヴェリストNovellist(愛),不明
2021101891,レッドファルクス,Mr.Prospector系,シングルカスク,FNo.[23-b],タニノギムレット,不明
2021101892,モーニン,StormBird系,チェキ,FNo.[17-b],ゴールドアリュール,不明
2021101893,メイショウボーラー,Halo系,モアマイガール,FNo.[6-b],フジキセキ,不明
2021101894,ワールドエース,Halo系,ユウアールシー,FNo.[13-d],クロフネ,不明
2021101895,マインドユアビスケッツMindYourBiscuits(米),DeputyMinister系,アーリー,FNo.[4-r],ハーツクライ,不明
2021101896,ドゥラメンテ,Mr.Prospector系,ウインドストリーム,FNo.[A4],アグネスタキオン,不明
2021101903,スマートファルコン,Halo系,ビフォーダーク,FNo.[1-l],キングカメハメハ,不明
2021101905,ビッグアーサー,テスコボーイ系,キョウエイレガシー,FNo.[22],ハービンジャーHarbinger(英),不明
2021101906,イスラボニータ,Halo系,ゲイエティ,FNo.[14-c],タニノギムレット,不明
2021101907,シルバーステート,Halo系,ノアウイニング,FNo.[3-c],クリプティックラスカルCrypticRascal(米),不明
2021101908,モーニン,StormBird系,マリアンヌカフェ,FNo.[22-a],マンハッタンカフェ,不明
2021101914,エピファネイア,Roberto系,アドマイヤエバート,FNo.[20-a],ディープインパクト,不明
2021101915,ヴィクトワールピサ,Halo系,アルマニンファ,FNo.[10-a],スペシャルウィーク,不明
2021101916,デクラレーションオブウォー,Danzig系,オリジンファーストOriginFast(豪),FNo.[3-n],ExceedAndExcel,不明
2021101917,コパノリッキー,Halo系,サンキャッチャー,FNo.[4-m],シンボリクリスエス,不明
2021101921,リオンディーズ,Mr.Prospector系,ニューアイデアNewIdea(愛),FNo.[4-p],CapeCross,不明
2021101922,ニューイヤーズデイ,Mr.Prospector系,バニーテール,FNo.[2-r],カネヒキリ,不明
2021101924,ファインニードル,Mr.Prospector系,フルールシチー,FNo.[9-e],サクラバクシンオー,不明
2021101927,オルフェーヴル,Halo系,マミーフィンガー,FNo.[3-o],ルーラーシップ,不明
2021101928,ドレフォンDrefong(米),StormBird系,マローブルー,FNo.[4-k],ディープインパクト,不明
2021101930,シャンハイボビーShanghaiBobby(米),StormBird系,ヤサカオディール,FNo.[23-b],メイショウボーラー,不明
2021101932,キタサンブラック,Halo系,ラインアンジュ,FNo.[10-a],RockportHarbor,不明
2021101933,ダイワメジャー,Halo系,リラックススマイル,FNo.[4-k],DubaiDestination,不明
2021101934,アルアイン,Halo系,レディオスソープ,FNo.[1-s],アグネスタキオン,不明
2021101940,ワールドエース,Halo系,テイエムサンピラー,FNo.[7-f],クロフネ,不明
2021101941,テイエムジンソク,DeputyMinister系,テイエムヒスイ,FNo.[4-r],テイエムオペラオー,不明
2021101943,サトノアラジン,Halo系,テイエムライオネス,FNo.[6-a],フジキセキ,不明
2021101944,シルバーステート,Halo系,テイエムリヴィエラ,FNo.[4-l],テイエムオペラオー,不明
2021101945,サトノアラジン,Halo系,フィフスアベニュー,FNo.[1-k],マンハッタンカフェ,不明
2021101948,リオンディーズ,Mr.Prospector系,オースミアース,FNo.[16-a],ハービンジャーHarbinger(英),不明
2021101949,リオンディーズ,Mr.Prospector系,オースミコスモ,FNo.[16-a],フジキセキ,不明
2021101950,ダノンレジェンド,Himyar系,キャンティユッキ,FNo.[14-f],マヤノトップガン,不明
2021101953,ジョーカプチーノ,Halo系,スイリンカ,FNo.[13-c],ワイルドラッシュWildRush(米),不明
2021101954,サンダースノーThunderSnow(愛),Danzig系,ナリタカサブランカ,FNo.[12-c],ディープインパクト,不明
2021101955,ロードアルティマ,Mr.Prospector系,ピンクスター,FNo.[23-b],タートルボウルTurtleBowl(愛),不明
2021101956,ビッグアーサー,テスコボーイ系,フラゴリーネ,FNo.[9-e],ディープインパクト,不明
2021101968,タリスマニックTalismanic(英),sWells系,ルナールフェノメナ,FNo.[5],バゴBago(仏),不明
2021101969,サトノクラウン,NorthernDancer系,ロトクレドール,FNo.[1-n],アドマイヤムーン,不明
2021101980,ディスクリートキャットDiscreetCat(米),StormBird系,ペプチドプラム,FNo.[4-m],ロードカナロア,不明
2021101982,フェノーメノ,Halo系,オープンアップ,FNo.[22-a],タヤスツヨシ,不明
2021101983,レッドファルクス,Mr.Prospector系,デルマアマノジャク,FNo.[16-h],オンファイア,不明
2021101984,ストロングリターン,Roberto系,デルマアラレチャン,FNo.[8-h],スクリーンヒーロー,不明
2021101985,ロゴタイプ,sWells系,デルマオシマ,FNo.[6-a],ハービンジャーHarbinger(英),不明
2021101986,イスラボニータ,Halo系,デルマサリーチャン,FNo.[15-c],ホワイトマズルWhiteMuzzle(英),不明
2021101987,ノヴェリストNovellist(愛),Blandford系,デルマシズカチャン,FNo.[14-b],スウィフトカレント,不明
2021101988,トーセンラー,Halo系,デルマスピリタス,FNo.[14-b],ノヴェリストNovellist(愛),不明
2021101989,ストロングリターン,Roberto系,デルマセンヒメ,FNo.[4-d],ワークフォースWorkforce(英),不明
2021101990,オーシャンブルー,Halo系,デルマチャチャ,FNo.[1-o],サムライハート,不明
2021101991,オンファイア,Halo系,デルマトモエゴゼン,FNo.[8-c],キングカメハメハ,不明
2021101993,オンファイア,Halo系,デルマベリーニ,FNo.[16-a],タートルボウルTurtleBowl(愛),不明
2021101995,トーセンラー,Halo系,デルマユリア,FNo.[4-m],ネオユニヴァース,不明
2021101996,スピルバーグ,Halo系,マナツノヨノユメ,FNo.[3-d],ヴィクトワールピサ,不明
2021102001,エピカリス,Halo系,トーコーアンジェ,FNo.[4-r],ディープスカイ,不明
2021102002,スワーヴリチャード,Halo系,トーコーニーケ,FNo.[7-c],キングカメハメハ,不明
2021102009,パイロPyro(米),SeattleSlew系,ゴールドフォレスト,FNo.[4-m],ゴールドアリュール,不明
2021102010,マインドユアビスケッツMindYourBiscuits(米),DeputyMinister系,シナジーウィスパー,FNo.[9],ネオユニヴァース,不明
2021102011,ワールドエース,Halo系,シルバージェニー,FNo.[19],LantanaMob,不明
2021102012,サトノアラジン,Halo系,セルプランタン,FNo.[5-e],ロードカナロア,不明
2021102013,シルバーステート,Halo系,ソルトドリーム,FNo.[1-b],ストロングリターン,不明
2021102015,リアルスティール,Halo系,ハートビートワルツ,FNo.[13-c],ブライアンズタイムBrian'sTime(米),不明
2021102016,シルバーステート,Halo系,フィナリザール,FNo.[4-d],Congrats(米),不明
2021102018,ファインニードル,Mr.Prospector系,エイシンアポロニア,FNo.[1-l],Dalakhani,不明
2021102020,レッドファルクス,Mr.Prospector系,スクリーンデビュー,FNo.[12],スクリーンヒーロー,不明
2021102022,ホッコータルマエ,Mr.Prospector系,ハンドスター,FNo.[3-o],パラダイスクリークParadiseCreek(米),不明
2021102023,サンダースノーThunderSnow(愛),Danzig系,ミエノプリンプリン,FNo.[23-b],ハービンジャーHarbinger(英),不明
2021102025,ダノンレジェンド,Himyar系,イチゴアミーラ,FNo.[3-l],シンボリクリスエス,不明
2021102026,ワンアンドオンリー,Halo系,サバイバルポケット,FNo.[1-n],ジャングルポケット,不明
2021102027,ロゴタイプ,sWells系,ダンシングエディDancingEdie(米),FNo.[1-p],MoscowBallet(米),不明
2021102029,モーニン,StormBird系,フォーミー,FNo.[5-e],アドマイヤマックス,不明
2021102030,ストロングリターン,Roberto系,マイオール,FNo.[13-c],フレンチデピュティFrenchDeputy(米),不明
2021102031,キタサンブラック,Halo系,マンドゥラMandura(独),FNo.[3-d],DanehillDancer(愛),不明
2021102035,ビッグアーサー,テスコボーイ系,ペイシャリサ,FNo.[5-h],ケイムホームCameHome(米),不明
2021102039,ドレフォンDrefong(米),StormBird系,ウインアイスバーグ,FNo.[18],ステイゴールド,不明
2021102042,シュヴァルグラン,Halo系,クリノアマダブラム,FNo.[9],オレハマッテルゼ,不明
2021102043,アスカクリチャン,Mr.Prospector系,クリノカッシミー,FNo.[4-f],ハービンジャーHarbinger(英),不明
2021102044,カレンブラックヒル,Halo系,クリノクレオパトラ,FNo.[9-f],ロージズインメイRosesinMay(米),不明
2021102045,リアルインパクト,Halo系,クリノリトミシュル,FNo.[13-b],アグネスデジタル,不明
2021102046,シャンハイボビーShanghaiBobby(米),StormBird系,ゴールデンターキン,FNo.[13-c],ネオユニヴァース,不明
2021102048,ラブリーデイ,Mr.Prospector系,ソーシャライツ,FNo.[16-c],ジャングルポケット,不明
2021102049,ミッキーロケット,Mr.Prospector系,タッカースタート,FNo.[20],シンボリクリスエス,不明
2021102051,コパノリッキー,Halo系,ツルマルミホ,FNo.[13-b],ネオユニヴァース,不明
2021102052,ゴールドシップ,Halo系,ナイキトリック,FNo.[A29],サクラバクシンオー,不明
2021102053,ミッキーロケット,Mr.Prospector系,アニマートホウヨウ,FNo.[12],フサイチコンコルド,不明
2021102054,オルフェーヴル,Halo系,サトノボヌール,FNo.[3-c],ロードカナロア,不明
2021102055,マクフィMakfi(英),Mr.Prospector系,サノノティアラ,FNo.[12],クロフネ,不明
2021102057,トゥザワールド,Mr.Prospector系,シックファイター,FNo.[2-f],ヘクタープロテクターHectorProtector(米),不明
2021102058,ヘニーヒューズHennyHughes(米),StormBird系,ショウサンユリシス,FNo.[1-b],プリサイスエンドPreciseEnd(米),不明
2021102059,ヴィクトワールピサ,Halo系,スマートアエロ,FNo.[16-c],スマートロビン,不明
2021102060,シャンハイボビーShanghaiBobby(米),StormBird系,スマートアムール,FNo.[10-c],ダイワメジャー,不明
2021102066,ホッコータルマエ,Mr.Prospector系,ホウヨウバルキリー,FNo.[1-b],スターリングローズ,不明
2021102067,クリエイターIICreator(米),SeattleSlew系,ユニバーサルビーチ,FNo.[12],ネオユニヴァース,不明
2021102073,カリフォルニアクロームCaliforniaChrome(米),SeattleSlew系,ファーマペニー,FNo.[3-e],ジャングルポケット,不明
2021102074,マツリダゴッホ,Halo系,ボヌールバトー,FNo.[3-c],ジャングルポケット,不明
2021102077,ジャスタウェイ,Halo系,キトゥンブルー,FNo.[5-c],ダンスインザダーク,不明
2021102078,ベストウォーリア,SeattleSlew系,グリンテソーロ,FNo.[2-n],カジノドライヴ,不明
2021102079,キズナ,Halo系,サウンドリアーナ,FNo.[10-d],ケイムホームCameHome(米),不明
2021102082,ブラックタイド,Halo系,スマートカペラ,FNo.[9-h],ヨハネスブルグJohannesburg(米),不明
2021102083,キンシャサノキセキ,Halo系,スマートノエル,FNo.[2-p],ヴァーミリアン,不明
2021102086,アジアエクスプレス,StormBird系,ソラリス,FNo.[4-i],ウインラディウス,不明
2021102087,エスポワールシチー,Halo系,タママリア,FNo.[14-c],キングヘイロー,不明
2021102088,サトノアラジン,Halo系,ファータグリーン,FNo.[1-b],タニノギムレット,不明
2021102091,ネオユニヴァース,Halo系,カネスベネフィット,FNo.[3-d],Miswaki,不明
2021102095,ラブリーデイ,Mr.Prospector系,チリペッパー,FNo.[22-b],マンハッタンカフェ,不明
2021102098,ヤマカツエース,Mr.Prospector系,ヒアデス,FNo.[16-c],モンテロッソMonterosso(英),不明
2021102104,ヴィクトワールピサ,Halo系,ジョイチャイルド,FNo.[1-b],シンボリクリスエス,不明
2021102105,ヤングマンパワー,Danzig系,セレンディップ,FNo.[9-h],ダイワメジャー,不明
2021102106,ヤングマンパワー,Danzig系,ハイタッチクイーン,FNo.[9-h],キングヘイロー,不明
2021102107,カリフォルニアクロームCaliforniaChrome(米),SeattleSlew系,バロネスサッチャーBaronessThatcher(米),FNo.[13-c],ヨハネスブルグJohannesburg(米),不明
2021102109,ドレフォンDrefong(米),StormBird系,マルヨパトリオット,FNo.[1-o],アルカセットAlkaased(米),不明
2021102114,レッドファルクス,Mr.Prospector系,アイビー,FNo.[7],サクラバクシンオー,不明
2021102115,オルフェーヴル,Halo系,アラタマクリスエス,FNo.[2-d],シンボリクリスエス,不明
2021102118,ニューイヤーズデイ,Mr.Prospector系,クロタカ,FNo.[2-s],シーキングザダイヤ,不明
2021102123,アドマイヤムーン,Mr.Prospector系,ビクトリアペガサス,FNo.[9-e],ヨハネスブルグJohannesburg(米),不明
2021102124,ダンカークDunkirk(米),Mr.Prospector系,ベリーベリータイム,FNo.[8-k],ブライアンズタイムBrian'sTime(米),不明
2021102126,ホークビルHawkbill(米),sWells系,リシャールサーバー,FNo.[7-c],フサイチリシャール,不明
2021102127,メイショウボーラー,Halo系,リボンスティック,FNo.[2-f],シニスターミニスターSinisterMinister(米),不明
2021102128,シャンハイボビーShanghaiBobby(米),StormBird系,ワイルドシンガー,FNo.[20-b],ワイルドラッシュWildRush(米),不明
2021102132,ミッキーアイル,Halo系,シュンカジョウ,FNo.[16-f],ロードカナロア,不明
2021102133,ビーチパトロールBeachPatrol(米),Mr.Prospector系,ダブルヨウコ,FNo.[16-a],ハーツクライ,不明
2021102139,アスカクリチャン,Mr.Prospector系,クリノレイステル,FNo.[7-c],ヴァーミリアン,不明
2021102141,バゴBago(仏),BlushingGroom系,ターントゥタイド,FNo.[4-g],ブラックタイド,不明
2021102143,シュヴァルグラン,Halo系,ライアンシャーク,FNo.[7-c],タイキシャトル,不明
2021102148,ベーカバドBehkabad(仏),Danzig系,ジーピークロス,FNo.[10-a],アグネスタキオン,不明
2021102149,リアルスティール,Halo系,ジープルメリア,FNo.[1-e],ストリートセンスStreetSense(米),不明
2021102150,シニスターミニスターSinisterMinister(米),SeattleSlew系,バーレーヘッズ,FNo.[9-h],スペシャルウィーク,不明
2021102151,サンダースノーThunderSnow(愛),Danzig系,モズカッチャン,FNo.[10-a],ハービンジャーHarbinger(英),不明
2021102152,スワーヴリチャード,Halo系,イリデ,FNo.[16-e],IndianCharlie,不明
2021102153,マジェスティックウォリアーMajesticWarrior(米),SeattleSlew系,キョウエイカプリス,FNo.[4-d],ゴールドアリュール,不明
2021102154,キズナ,Halo系,キョウエイカルラ,FNo.[4-d],アフリートAfleet(加),不明
2021102155,スワーヴリチャード,Halo系,ギンマクノヒロイン,FNo.[1-x],グラスワンダー,不明
2021102156,レイデオロ,Mr.Prospector系,ショウサンミーベル,FNo.[5-f],フジキセキ,不明
2021102157,エピファネイア,Roberto系,ビップベリンダ,FNo.[19-c],ハーツクライ,不明
2021102160,ダノンレジェンド,Himyar系,ポレモス,FNo.[16-f],アグネスタキオン,不明
2021102162,ラブリーデイ,Mr.Prospector系,アンドリエッテ,FNo.[6-f],ディープインパクト,不明
2021102164,シルバーステート,Halo系,グロリエッテ,FNo.[1-s],アドマイヤムーン,不明
2021102165,シルバーステート,Halo系,ザッハトルテ,FNo.[7-a],クロフネ,不明
2021102166,ヘニーヒューズHennyHughes(米),StormBird系,スターリットスカイ,FNo.[3-l],フジキセキ,不明
2021102167,シルバーステート,Halo系,ピュアゴシップPureGossip(米),FNo.[1-l],PurePrize,不明
2021102168,レイデオロ,Mr.Prospector系,メロディーオブラブ,FNo.[6-f],ディープインパクト,不明
2021102179,ロゴタイプ,sWells系,フィオレンツァ,FNo.[1-w],グラスワンダー,不明
2021102183,バトルプランBattlePlan(米),Mr.Prospector系,アタックガール,FNo.[19-a],パイロPyro(米),不明
2021102186,ラブリーデイ,Mr.Prospector系,エムオープラチナ,FNo.[23-b],ヨハネスブルグJohannesburg(米),不明
2021102187,モーニン,StormBird系,エムティティアラ,FNo.[11],オルフェーヴル,不明
2021102192,シルバーステート,Halo系,グランクリューピサ,FNo.[3-n],ヴィクトワールピサ,不明
2021102193,キンシャサノキセキ,Halo系,コフィーチャン,FNo.[14-b],シンボリクリスエス,不明
2021102194,アルアイン,Halo系,ゴールドスカイ,FNo.[1-p],Kyllachy,不明
2021102195,トビーズコーナーToby'sCorner(米),Danzig系,サイレントスター,FNo.[2-s],Rahy,不明
2021102200,エイシンフラッシュ,Mr.Prospector系,ブランシェール,FNo.[5-f],ディープインパクト,不明
2021102203,オルフェーヴル,Halo系,トレサンセール,FNo.[12-b],RipVanWinkle(愛),不明
2021102204,オルフェーヴル,Halo系,ピュアエクセル,FNo.[1-k],アドマイヤムーン,不明
2021102205,ビッグアーサー,テスコボーイ系,ペロチャン,FNo.[10-a],サクラプレジデント,不明
2021102206,レーヴミストラル,Mr.Prospector系,ヤマトダイアンサス,FNo.[1-o],ゼンノロブロイ,不明
2021102214,ビッグアーサー,テスコボーイ系,アムールリンクス,FNo.[6-b],オルフェーヴル,不明
2021102215,エピファネイア,Roberto系,オーパスクイーン,FNo.[21-a],スペシャルウィーク,不明
2021102216,ブラックタイド,Halo系,キモンプライド,FNo.[4-n],ダイワメジャー,不明
2021102217,キタサンブラック,Halo系,グッデーコパ,FNo.[16-h],マンハッタンカフェ,不明
2021102219,ダノンレジェンド,Himyar系,コパノビジン,FNo.[A13],ゴールドアリュール,不明
2021102220,ホッコータルマエ,Mr.Prospector系,コパノリンデン,FNo.[6-b],ゴールドアリュール,不明
2021102221,マジェスティックウォリアーMajesticWarrior(米),SeattleSlew系,コパノレヴィーン,FNo.[1-o],ゴールドアリュール,不明
2021102222,コパノリッキー,Halo系,サンチャゴボラーレ,FNo.[4-m],ヴィクトワールピサ,不明
2021102223,シニスターミニスターSinisterMinister(米),SeattleSlew系,サンデーローズ,FNo.[1-b],ブライアンズタイムBrian'sTime(米),不明
2021102224,ドゥラメンテ,Mr.Prospector系,シュガーハート,FNo.[9-g],サクラバクシンオー,不明
2021102225,グランデッツァ,Halo系,ステキナポケット,FNo.[23-b],ジャングルポケット,不明
2021102228,カリフォルニアクロームCaliforniaChrome(米),SeattleSlew系,タッチオブパラダイスTouchofParadise(愛),FNo.[2-i],Frankel,不明
2021102229,シャンハイボビーShanghaiBobby(米),StormBird系,ダンシングミッシー,FNo.[2-n],シニスターミニスターSinisterMinister(米),不明
2021102230,サトノダイヤモンド,Halo系,テーオーアモーレ,FNo.[16-h],ヨハネスブルグJohannesburg(米),不明
2021102231,デクラレーションオブウォー,Danzig系,テーオーヴィーナス,FNo.[4-n],ディープインパクト,不明
2021102232,シルバーステート,Halo系,テーオーブロンド,FNo.[22-b],ルーラーシップ,不明
2021102233,ファインニードル,Mr.Prospector系,テーオーメーテル,FNo.[9-g],ゴールドアリュール,不明
2021102234,コパノリッキー,Halo系,テーオールチア,FNo.[1-l],シニスターミニスターSinisterMinister(米),不明
2021102235,キタサンブラック,Halo系,テーオールネサンス,FNo.[1-o],クロフネ,不明
2021102236,コパノリッキー,Halo系,テーオーレイチェル,FNo.[A29],キングカメハメハ,不明
2021102237,デクラレーションオブウォー,Danzig系,デイジーフローラ,FNo.[1-n],キングカメハメハ,不明
2021102238,カリフォルニアクロームCaliforniaChrome(米),SeattleSlew系,デイジーメーカー,FNo.[1-n],エンパイアメーカーEmpireMaker(米),不明
2021102239,シャンハイボビーShanghaiBobby(米),StormBird系,ヒガシドリーム,FNo.[9-g],ドリームジャーニー,不明
2021102241,レイデオロ,Mr.Prospector系,ヒムノティックHymnotic(米),FNo.[2-f],WarFront,不明
2021102242,リオンディーズ,Mr.Prospector系,フォローガーネット,FNo.[9-h],サンライズペガサス,不明
2021102243,ダイワメジャー,Halo系,プルージャPluja(亜),FNo.[3-l],Sidney'sCandy,不明
2021102244,コパノリッキー,Halo系,マキシムカフェ,FNo.[1-l],マンハッタンカフェ,不明
2021102245,ワールドエース,Halo系,メイショウネイロ,FNo.[A4],ネオユニヴァース,不明
2021102246,リアルスティール,Halo系,ラブミーリル,FNo.[16-h],ハービンジャーHarbinger(英),不明
2021102247,コパノリッキー,Halo系,リントス,FNo.[2-f],ウォーエンブレムWarEmblem(米),不明
2021102254,ダノンシャンティ,Halo系,ハイヨーシルバー,FNo.[12-b],クロフネ,不明
2021102255,ダノンシャンティ,Halo系,フサイチミライ,FNo.[22],エンドスウィープEndSweep(米),不明
2021102256,ネオユニヴァース,Halo系,ホウショウワールド,FNo.[20-a],SkyClassic,不明
2021102258,アルアイン,Halo系,クリノビャクダン,FNo.[6-a],クロフネ,不明
2021102259,ニューイヤーズデイ,Mr.Prospector系,クリノラホール,FNo.[6-a],ダイワメジャー,不明
2021102260,サンダースノーThunderSnow(愛),Danzig系,ダイメイダーク,FNo.[8-f],ダンスインザダーク,不明
2021102261,トビーズコーナーToby'sCorner(米),Danzig系,ホシゾラ,FNo.[1-l],ネオユニヴァース,不明
2021102262,ストロングリターン,Roberto系,モエレエターナル,FNo.[16-g],ゴールドヘイロー,不明
2021102264,アポロケンタッキー,Danzig系,ジョイ,FNo.[3-n],ストロングリターン,不明
2021102272,スワーヴリチャード,Halo系,アンカーテソーロ,FNo.[A29],Giant'sCauseway(米),不明
2021102273,ヴィクトワールピサ,Halo系,イージーウィンEasyWin(愛),FNo.[8-f],InvincibleSpirit(愛),不明
2021102274,ブラックタイド,Halo系,ウイントゥルーラヴ,FNo.[2-f],ロックオブジブラルタル,不明
2021102275,ファインニードル,Mr.Prospector系,ジャニュアリージョーンズ,FNo.[1-t],Shirocco,不明
2021102276,レッドファルクス,Mr.Prospector系,ダラステソーロ,FNo.[52],CairoPrince,不明
2021102277,スワーヴリチャード,Halo系,チェストケリリー,FNo.[12-b],ScatDaddy(米),不明
2021102278,スワーヴリチャード,Halo系,トロントテソーロ,FNo.[7-e],シャンハイボビーShanghaiBobby(米),不明
2021102279,イスラボニータ,Halo系,ノウKnow(米),FNo.[16-h],StreetCry(愛),不明
2021102280,スワーヴリチャード,Halo系,バレットテソーロ,FNo.[22],Camelot(英),不明
2021102281,ハーツクライ,Halo系,パールプリンセスPearlPrincess(仏),FNo.[16-b],AstronomerRoyal,不明
2021102282,ロジャーバローズ,Halo系,ビューティテソーロ,FNo.[3-l],Camelot(英),不明
2021102283,オルフェーヴル,Halo系,モトカ,FNo.[28],Frankel,不明
2021102285,ドゥラメンテ,Mr.Prospector系,リエノテソーロ,FNo.[9-e],Speightstown(米),不明
2021102286,ネオユニヴァース,Halo系,レディーエリオット,FNo.[1-u],Authorized,不明
2021102287,ヴィクトワールピサ,Halo系,ロマンシエール,FNo.[7-d],アグネスデジタル,不明
